,OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,ENSEMBL_A,ENSEMBL_B,PUBMED_ID,description_A,description_B
207614,ENO1,MYO18A,ENSG00000074800,ENSG00000196535,22658674,ENOLASE 1,MYOSIN XVIIIA
210187,CD9,PTGFRN,ENSG00000010278,ENSG00000134247,23091066,CD9 MOLECULE,PROSTAGLANDIN F2 RECEPTOR INHIBITOR
210188,PTGFRN,CD9,ENSG00000134247,ENSG00000010278,23091066,PROSTAGLANDIN F2 RECEPTOR INHIBITOR,CD9 MOLECULE
210191,TSPAN14,ADAM10,ENSG00000108219,ENSG00000137845,23091066,TETRASPANIN 14,ADAM METALLOPEPTIDASE DOMAIN 10
210192,TSPAN15,ADAM10,ENSG00000099282,ENSG00000137845,23091066,TETRASPANIN 15,ADAM METALLOPEPTIDASE DOMAIN 10
210194,TSPAN33,ADAM10,ENSG00000158457,ENSG00000137845,23091066,TETRASPANIN 33,ADAM METALLOPEPTIDASE DOMAIN 10
211618,CD63,SDC1,ENSG00000135404,ENSG00000115884,22660413,CD63 MOLECULE,SYNDECAN 1
214898,NRP1,PDGFB,ENSG00000099250,ENSG00000100311,20577048,NEUROPILIN 1,PLATELET DERIVED GROWTH FACTOR SUBUNIT B
214899,PDGFRB,PDGFB,ENSG00000113721,ENSG00000100311,20577048,PLATELET DERIVED GROWTH FACTOR RECEPTOR BETA,PLATELET DERIVED GROWTH FACTOR SUBUNIT B
217137,EGFR,EGFR,ENSG00000146648,ENSG00000146648,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,EPIDERMAL GROWTH FACTOR RECEPTOR
217139,EGFR,DSG2,ENSG00000146648,ENSG00000046604,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,DESMOGLEIN 2
217156,EGFR,TFRC,ENSG00000146648,ENSG00000072274,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,TRANSFERRIN RECEPTOR
217217,EGFR,HLA-A,ENSG00000146648,ENSG00000206503,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
217257,EGFR,SLC3A2,ENSG00000146648,ENSG00000168003,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,SOLUTE CARRIER FAMILY 3 MEMBER 2
217289,EGFR,RER1,ENSG00000146648,ENSG00000157916,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,RETENTION IN ENDOPLASMIC RETICULUM SORTING RECEPTOR 1
217303,EGFR,TNFRSF10B,ENSG00000146648,ENSG00000120889,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,TNF RECEPTOR SUPERFAMILY MEMBER 10B
217325,EGFR,CALR,ENSG00000146648,ENSG00000179218,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,CALRETICULIN
217328,EGFR,AAMP,ENSG00000146648,ENSG00000127837,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,ANGIO ASSOCIATED MIGRATORY CELL PROTEIN
217346,EGFR,CLU,ENSG00000146648,ENSG00000120885,24797263,EPIDERMAL GROWTH FACTOR RECEPTOR,CLUSTERIN
217948,EGFR,HSP90AB1,ENSG00000146648,ENSG00000096384,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,HEAT SHOCK PROTEIN 90 ALPHA FAMILY CLASS B MEMBER 1
217960,EGFR,PDGFRA,ENSG00000146648,ENSG00000134853,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,PLATELET DERIVED GROWTH FACTOR RECEPTOR ALPHA
217961,EGFR,TNFRSF1A,ENSG00000146648,ENSG00000067182,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
218012,EGFR,ITGB2,ENSG00000146648,ENSG00000160255,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,INTEGRIN SUBUNIT BETA 2
218015,EGFR,TGFA,ENSG00000146648,ENSG00000163235,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,TRANSFORMING GROWTH FACTOR ALPHA
218022,EGFR,CDH5,ENSG00000146648,ENSG00000179776,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,CADHERIN 5
218058,EGFR,APP,ENSG00000146648,ENSG00000142192,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,AMYLOID BETA PRECURSOR PROTEIN
218061,EGFR,TLR2,ENSG00000146648,ENSG00000137462,25402006,EPIDERMAL GROWTH FACTOR RECEPTOR,TOLL LIKE RECEPTOR 2
218443,CXCR4,B2M,ENSG00000121966,ENSG00000166710,18083706,C-X-C MOTIF CHEMOKINE RECEPTOR 4,BETA-2-MICROGLOBULIN
218444,CXCR4,HLA-B,ENSG00000121966,ENSG00000234745,18083706,C-X-C MOTIF CHEMOKINE RECEPTOR 4,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B"
218593,ITGB5,ITGA5,ENSG00000082781,ENSG00000161638,22470492,INTEGRIN SUBUNIT BETA 5,INTEGRIN SUBUNIT ALPHA 5
218594,ITGB3,ITGA5,ENSG00000259207,ENSG00000161638,22470492,INTEGRIN SUBUNIT BETA 3,INTEGRIN SUBUNIT ALPHA 5
218811,ACVR1B,ACVR2A,ENSG00000135503,ENSG00000121989,11927552,ACTIVIN A RECEPTOR TYPE 1B,ACTIVIN A RECEPTOR TYPE 2A
219393,TNF,TNFRSF1A,ENSG00000232810,ENSG00000067182,8805640,TUMOR NECROSIS FACTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
221620,CD40,CD40,ENSG00000101017,ENSG00000101017,20614026,CD40 MOLECULE,CD40 MOLECULE
221766,APP,APP,ENSG00000142192,ENSG00000142192,23755257,AMYLOID BETA PRECURSOR PROTEIN,AMYLOID BETA PRECURSOR PROTEIN
222815,CD3E,HLA-A,ENSG00000198851,ENSG00000206503,26186194,CD3E MOLECULE,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
223451,CD74,HLA-DPB1,ENSG00000019582,ENSG00000223865,26186194,CD74 MOLECULE,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1"
223538,HLA-DRA,DCBLD2,ENSG00000204287,ENSG00000057019,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA","DISCOIDIN, CUB AND LCCL DOMAIN CONTAINING 2"
223543,HLA-DRA,HLA-DRB1,ENSG00000204287,ENSG00000196126,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1"
223545,HLA-DRA,SCARB1,ENSG00000204287,ENSG00000073060,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",SCAVENGER RECEPTOR CLASS B MEMBER 1
223556,HLA-DRA,TMEM206,ENSG00000204287,,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",
223561,HLA-DRA,LRFN3,ENSG00000204287,ENSG00000126243,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR ALPHA",LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 3
223612,LGALS3,ABCB1,ENSG00000131981,ENSG00000085563,26186194,GALECTIN 3,ATP BINDING CASSETTE SUBFAMILY B MEMBER 1
223613,LGALS3,ITGA2,ENSG00000131981,ENSG00000164171,26186194,GALECTIN 3,INTEGRIN SUBUNIT ALPHA 2
223617,LGALS3,ALCAM,ENSG00000131981,ENSG00000170017,26186194,GALECTIN 3,ACTIVATED LEUKOCYTE CELL ADHESION MOLECULE
223619,LGALS3,CD109,ENSG00000131981,ENSG00000156535,26186194,GALECTIN 3,CD109 MOLECULE
223624,LGALS3,ITGA1,ENSG00000131981,ENSG00000213949,26186194,GALECTIN 3,INTEGRIN SUBUNIT ALPHA 1
223627,LGALS3,PTPRJ,ENSG00000131981,ENSG00000149177,26186194,GALECTIN 3,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE J
223632,LGALS3,CD58,ENSG00000131981,ENSG00000116815,26186194,GALECTIN 3,CD58 MOLECULE
223647,LGALS3,CSPG4,ENSG00000131981,ENSG00000173546,26186194,GALECTIN 3,CHONDROITIN SULFATE PROTEOGLYCAN 4
223648,LGALS3,HEG1,ENSG00000131981,ENSG00000173706,26186194,GALECTIN 3,HEART DEVELOPMENT PROTEIN WITH EGF LIKE DOMAINS 1
223649,LGALS3,PTPRK,ENSG00000131981,ENSG00000152894,26186194,GALECTIN 3,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K
223653,LGALS3,NPTN,ENSG00000131981,ENSG00000156642,26186194,GALECTIN 3,NEUROPLASTIN
223654,LGALS3,MPZL1,ENSG00000131981,ENSG00000197965,26186194,GALECTIN 3,MYELIN PROTEIN ZERO LIKE 1
223656,LGALS3,PTGFRN,ENSG00000131981,ENSG00000134247,26186194,GALECTIN 3,PROSTAGLANDIN F2 RECEPTOR INHIBITOR
223660,LGALS3,CD63,ENSG00000131981,ENSG00000135404,26186194,GALECTIN 3,CD63 MOLECULE
223663,LGALS3,CLCN3,ENSG00000131981,ENSG00000109572,26186194,GALECTIN 3,CHLORIDE VOLTAGE-GATED CHANNEL 3
223665,LGALS3,RTN4RL2,ENSG00000131981,ENSG00000186907,26186194,GALECTIN 3,RETICULON 4 RECEPTOR LIKE 2
224061,TNFRSF9,SLC39A6,ENSG00000049249,ENSG00000141424,26186194,TNF RECEPTOR SUPERFAMILY MEMBER 9,SOLUTE CARRIER FAMILY 39 MEMBER 6
224071,TSHR,IQGAP2,ENSG00000165409,ENSG00000145703,26186194,THYROID STIMULATING HORMONE RECEPTOR,IQ MOTIF CONTAINING GTPASE ACTIVATING PROTEIN 2
224150,AREG,ICAM1,ENSG00000109321,ENSG00000090339,26186194,AMPHIREGULIN,INTERCELLULAR ADHESION MOLECULE 1
224151,AREG,AREG,ENSG00000109321,ENSG00000109321,26186194,AMPHIREGULIN,AMPHIREGULIN
224198,CLDND1,BMPR1A,ENSG00000080822,ENSG00000107779,26186194,CLAUDIN DOMAIN CONTAINING 1,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
224719,HLA-DPA1,HLA-F,ENSG00000231389,ENSG00000204642,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
224720,HLA-DPA1,HLA-A,ENSG00000231389,ENSG00000206503,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
224727,HLA-DPA1,LRFN1,ENSG00000231389,ENSG00000128011,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 1
224738,HLA-DPA1,SCARB1,ENSG00000231389,ENSG00000073060,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",SCAVENGER RECEPTOR CLASS B MEMBER 1
224746,HLA-DPA1,CLU,ENSG00000231389,ENSG00000120885,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",CLUSTERIN
224749,HLA-DPA1,FUT4,ENSG00000231389,ENSG00000196371,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",FUCOSYLTRANSFERASE 4
224759,HLA-DPA1,DAG1,ENSG00000231389,ENSG00000173402,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",DYSTROGLYCAN 1
224782,HLA-DPA1,RER1,ENSG00000231389,ENSG00000157916,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",RETENTION IN ENDOPLASMIC RETICULUM SORTING RECEPTOR 1
224786,HLA-DPA1,EPHA4,ENSG00000231389,ENSG00000116106,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1",EPH RECEPTOR A4
224792,HLA-DPA1,HLA-DPB1,ENSG00000231389,ENSG00000223865,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP ALPHA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1"
225368,TSPAN33,MSN,ENSG00000158457,ENSG00000147065,26186194,TETRASPANIN 33,MOESIN
225493,CD1B,HLA-A,ENSG00000158485,ENSG00000206503,26186194,CD1B MOLECULE,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
225505,CD1B,ADAM9,ENSG00000158485,ENSG00000168615,26186194,CD1B MOLECULE,ADAM METALLOPEPTIDASE DOMAIN 9
225514,CD1B,B2M,ENSG00000158485,ENSG00000166710,26186194,CD1B MOLECULE,BETA-2-MICROGLOBULIN
225536,CD1B,LRFN3,ENSG00000158485,ENSG00000126243,26186194,CD1B MOLECULE,LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 3
225718,HLA-DRB1,HLA-DRB1,ENSG00000196126,ENSG00000196126,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DR BETA 1"
229636,TGFBR2,ACVR2A,ENSG00000163513,ENSG00000121989,26186194,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,ACTIVIN A RECEPTOR TYPE 2A
229650,TGFBR2,BMPR1A,ENSG00000163513,ENSG00000107779,26186194,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,BONE MORPHOGENETIC PROTEIN RECEPTOR TYPE 1A
229654,TGFBR2,DIP2A,ENSG00000163513,ENSG00000160305,26186194,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,DISCO INTERACTING PROTEIN 2 HOMOLOG A
229658,TGFBR2,ACVR1B,ENSG00000163513,ENSG00000135503,26186194,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2,ACTIVIN A RECEPTOR TYPE 1B
229974,FGF10,HIST1H1A,ENSG00000070193,ENSG00000124610,26186194,FIBROBLAST GROWTH FACTOR 10,HISTONE CLUSTER 1 H1 FAMILY MEMBER A
231592,LRFN4,MYO18A,ENSG00000173621,ENSG00000196535,26186194,LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 4,MYOSIN XVIIIA
232670,ANTXR1,HSPA5,ENSG00000169604,ENSG00000044574,26186194,ANTXR CELL ADHESION MOLECULE 1,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
232698,ANTXR1,WNT5A,ENSG00000169604,ENSG00000114251,26186194,ANTXR CELL ADHESION MOLECULE 1,WNT FAMILY MEMBER 5A
232841,MFGE8,ITGB5,ENSG00000140545,ENSG00000082781,26186194,MILK FAT GLOBULE-EGF FACTOR 8 PROTEIN,INTEGRIN SUBUNIT BETA 5
232952,PLAUR,ARSB,ENSG00000011422,ENSG00000113273,26186194,"PLASMINOGEN ACTIVATOR, UROKINASE RECEPTOR",ARYLSULFATASE B
233325,CTSV,HLA-DPB1,ENSG00000136943,ENSG00000223865,26186194,CATHEPSIN V,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1"
234021,CCR1,EPHA2,ENSG00000163823,ENSG00000142627,26186194,C-C MOTIF CHEMOKINE RECEPTOR 1,EPH RECEPTOR A2
234265,HLA-B,HLA-C,ENSG00000234745,ENSG00000204525,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C"
234266,HLA-B,HLA-A,ENSG00000234745,ENSG00000206503,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
234267,HLA-B,HLA-E,ENSG00000234745,ENSG00000204592,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E"
234268,HLA-B,HLA-H,ENSG00000234745,HGNC:HGNC:4965,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, H (PSEUDOGENE)"
234289,HLA-B,B2M,ENSG00000234745,ENSG00000166710,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, B",BETA-2-MICROGLOBULIN
234296,HLA-C,HLA-F,ENSG00000204525,ENSG00000204642,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
234297,HLA-C,HLA-A,ENSG00000204525,ENSG00000206503,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
234299,HLA-C,HLA-E,ENSG00000204525,ENSG00000204592,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E"
234300,HLA-C,HLA-H,ENSG00000204525,HGNC:HGNC:4965,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, H (PSEUDOGENE)"
234307,HLA-C,SCARB1,ENSG00000204525,ENSG00000073060,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",SCAVENGER RECEPTOR CLASS B MEMBER 1
234316,HLA-C,ITGA6,ENSG00000204525,ENSG00000091409,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",INTEGRIN SUBUNIT ALPHA 6
234321,HLA-C,TMEM206,ENSG00000204525,,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",
234322,HLA-C,B2M,ENSG00000204525,ENSG00000166710,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",BETA-2-MICROGLOBULIN
234325,HLA-C,LRFN3,ENSG00000204525,ENSG00000126243,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, C",LEUCINE RICH REPEAT AND FIBRONECTIN TYPE III DOMAIN CONTAINING 3
235230,P2RY12,LGALS3,ENSG00000169313,ENSG00000131981,26186194,PURINERGIC RECEPTOR P2Y12,GALECTIN 3
235237,P2RY12,TSPAN15,ENSG00000169313,ENSG00000099282,26186194,PURINERGIC RECEPTOR P2Y12,TETRASPANIN 15
235347,SLAMF1,LGALS1,ENSG00000117090,ENSG00000100097,26186194,SIGNALING LYMPHOCYTIC ACTIVATION MOLECULE FAMILY MEMBER 1,GALECTIN 1
235349,SLAMF1,ANTXR1,ENSG00000117090,ENSG00000169604,26186194,SIGNALING LYMPHOCYTIC ACTIVATION MOLECULE FAMILY MEMBER 1,ANTXR CELL ADHESION MOLECULE 1
235799,HLA-E,HLA-F,ENSG00000204592,ENSG00000204642,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F"
235800,HLA-E,HLA-A,ENSG00000204592,ENSG00000206503,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, A"
235801,HLA-E,HLA-H,ENSG00000204592,HGNC:HGNC:4965,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, H (PSEUDOGENE)"
235808,HLA-E,HLA-DPB1,ENSG00000204592,ENSG00000223865,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E","MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS II, DP BETA 1"
235817,HLA-E,PLXNB2,ENSG00000204592,ENSG00000196576,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E",PLEXIN B2
235819,HLA-E,ITGA6,ENSG00000204592,ENSG00000091409,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, E",INTEGRIN SUBUNIT ALPHA 6
235840,LMAN2,PLXNB2,ENSG00000169223,ENSG00000196576,26186194,"LECTIN, MANNOSE BINDING 2",PLEXIN B2
236858,MICA,VAMP3,ENSG00000204520,ENSG00000049245,26186194,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
236860,MICA,TNFRSF10B,ENSG00000204520,ENSG00000120889,26186194,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A,TNF RECEPTOR SUPERFAMILY MEMBER 10B
238413,HLA-F,B2M,ENSG00000204642,ENSG00000166710,26186194,"MAJOR HISTOCOMPATIBILITY COMPLEX, CLASS I, F",BETA-2-MICROGLOBULIN
239103,PTPRK,ECE1,ENSG00000152894,ENSG00000117298,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ENDOTHELIN CONVERTING ENZYME 1
239107,PTPRK,INSR,ENSG00000152894,ENSG00000171105,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,INSULIN RECEPTOR
239112,PTPRK,CD109,ENSG00000152894,ENSG00000156535,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,CD109 MOLECULE
239124,PTPRK,SCARB1,ENSG00000152894,ENSG00000073060,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,SCAVENGER RECEPTOR CLASS B MEMBER 1
239125,PTPRK,ADAM9,ENSG00000152894,ENSG00000168615,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ADAM METALLOPEPTIDASE DOMAIN 9
239133,PTPRK,EGFR,ENSG00000152894,ENSG00000146648,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,EPIDERMAL GROWTH FACTOR RECEPTOR
239141,PTPRK,PLXNB2,ENSG00000152894,ENSG00000196576,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,PLEXIN B2
239143,PTPRK,ITGA8,ENSG00000152894,ENSG00000077943,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,INTEGRIN SUBUNIT ALPHA 8
239145,PTPRK,ARSB,ENSG00000152894,ENSG00000113273,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,ARYLSULFATASE B
239155,PTPRK,DCBLD2,ENSG00000152894,ENSG00000057019,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,"DISCOIDIN, CUB AND LCCL DOMAIN CONTAINING 2"
239163,PTPRK,PLAT,ENSG00000152894,ENSG00000104368,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,"PLASMINOGEN ACTIVATOR, TISSUE TYPE"
239165,PTPRK,ITGA4,ENSG00000152894,ENSG00000115232,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,INTEGRIN SUBUNIT ALPHA 4
239167,PTPRK,MICA,ENSG00000152894,ENSG00000204520,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,MHC CLASS I POLYPEPTIDE-RELATED SEQUENCE A
239169,PTPRK,WNT5A,ENSG00000152894,ENSG00000114251,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,WNT FAMILY MEMBER 5A
239176,PTPRK,HYAL2,ENSG00000152894,ENSG00000068001,26186194,PROTEIN TYROSINE PHOSPHATASE RECEPTOR TYPE K,HYALURONIDASE 2
239884,AAMP,ACE2,ENSG00000127837,ENSG00000130234,26186194,ANGIO ASSOCIATED MIGRATORY CELL PROTEIN,ANGIOTENSIN I CONVERTING ENZYME 2
240030,AGER,NRP1,ENSG00000204305,ENSG00000099250,26186194,ADVANCED GLYCOSYLATION END-PRODUCT SPECIFIC RECEPTOR,NEUROPILIN 1
240151,WNT3A,HSPA5,ENSG00000154342,ENSG00000044574,26186194,WNT FAMILY MEMBER 3A,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
241420,PLAU,SERPINE2,ENSG00000122861,ENSG00000135919,26186194,"PLASMINOGEN ACTIVATOR, UROKINASE",SERPIN FAMILY E MEMBER 2
241711,TNFRSF10B,VAMP3,ENSG00000120889,ENSG00000049245,26186194,TNF RECEPTOR SUPERFAMILY MEMBER 10B,VESICLE ASSOCIATED MEMBRANE PROTEIN 3
242067,ICOS,TNF,ENSG00000163600,ENSG00000232810,26186194,INDUCIBLE T CELL COSTIMULATOR,TUMOR NECROSIS FACTOR
242089,LPAR1,TYRO3,ENSG00000198121,ENSG00000092445,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,TYRO3 PROTEIN TYROSINE KINASE
242091,LPAR1,SLC9A1,ENSG00000198121,ENSG00000090020,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,SOLUTE CARRIER FAMILY 9 MEMBER A1
242093,LPAR1,GPRC5B,ENSG00000198121,ENSG00000167191,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,G PROTEIN-COUPLED RECEPTOR CLASS C GROUP 5 MEMBER B
242137,LPAR1,CD47,ENSG00000198121,ENSG00000196776,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,CD47 MOLECULE
242143,LPAR1,LGALS3,ENSG00000198121,ENSG00000131981,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,GALECTIN 3
242171,LPAR1,LRRC8A,ENSG00000198121,ENSG00000136802,26186194,LYSOPHOSPHATIDIC ACID RECEPTOR 1,LEUCINE RICH REPEAT CONTAINING 8 VRAC SUBUNIT A
242584,TNF,DAG1,ENSG00000232810,ENSG00000173402,26186194,TUMOR NECROSIS FACTOR,DYSTROGLYCAN 1
242596,TNF,CLU,ENSG00000232810,ENSG00000120885,26186194,TUMOR NECROSIS FACTOR,CLUSTERIN
242600,TNF,NRP1,ENSG00000232810,ENSG00000099250,26186194,TUMOR NECROSIS FACTOR,NEUROPILIN 1
242603,TNF,B4GALT1,ENSG00000232810,ENSG00000086062,26186194,TUMOR NECROSIS FACTOR,"BETA-1,4-GALACTOSYLTRANSFERASE 1"
242605,TNF,TNFRSF1A,ENSG00000232810,ENSG00000067182,26186194,TUMOR NECROSIS FACTOR,TNF RECEPTOR SUPERFAMILY MEMBER 1A
242643,WNT4,HSPA5,ENSG00000162552,ENSG00000044574,26186194,WNT FAMILY MEMBER 4,HEAT SHOCK PROTEIN FAMILY A (HSP70) MEMBER 5
242652,WNT4,WNT5A,ENSG00000162552,ENSG00000114251,26186194,WNT FAMILY MEMBER 4,WNT FAMILY MEMBER 5A
244409,CLEC5A,CD276,ENSG00000258227,ENSG00000103855,26186194,C-TYPE LECTIN DOMAIN CONTAINING 5A,CD276 MOLECULE
245901,EPPIN,LTF,ENSG00000101448,ENSG00000012223,17567961,EPIDIDYMAL PEPTIDASE INHIBITOR,LACTOTRANSFERRIN
245902,EPPIN,CLU,ENSG00000101448,ENSG00000120885,17567961,EPIDIDYMAL PEPTIDASE INHIBITOR,CLUSTERIN
245903,CLU,LTF,ENSG00000120885,ENSG00000012223,17567961,CLUSTERIN,LACTOTRANSFERRIN
245904,CLU,EPPIN,ENSG00000120885,ENSG00000101448,17567961,CLUSTERIN,EPIDIDYMAL PEPTIDASE INHIBITOR
246237,TGFBR1,TGFBR2,ENSG00000106799,ENSG00000163513,10757800,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 1,TRANSFORMING GROWTH FACTOR BETA RECEPTOR 2
