Gene / Product (bioentity),Gene / Product (bioentity_label),Gene / Product (bioentity_name),Synonyms,Organism (taxon_label),Type,Source,PANTHER family (panther_family_label),PANTHER family (panther_family),Direct annotation (annotation_class_list_label),Direct annotation (annotation_class_list),Inferred annotation (annotation_class_list_label),Inferred annotation (annotation_class_list)
UniProtKB:O95477,ABCA1,ATP-binding cassette sub-family A member 1,ABC1|CERP,Homo sapiens,protein,UniProtKB,atp-binding cassette transporter subfamily a  abca pthr19229,PANTHER:PTHR19229,"ATPase activity|Golgi apparatus|phospholipid homeostasis|endoplasmic reticulum membrane|phospholipid transporter activity|phagocytosis, engulfment|anion transmembrane transport|phospholipid translocation|intracellular cholesterol transport|regulation of Cdc42 protein signal transduction|apolipoprotein binding|platelet dense granule organization|regulation of high-density lipoprotein particle assembly|high-density lipoprotein particle assembly|apolipoprotein A-I-mediated signaling pathway|G protein-coupled receptor signaling pathway|cholesterol binding|syntaxin binding|apolipoprotein A-I receptor activity|apolipoprotein A-I binding|protein lipidation|phagocytic vesicle|response to nutrient|adenylate cyclase-activating G protein-coupled receptor signaling pathway|high-density lipoprotein particle binding|plasma membrane|endocytic vesicle|protein binding|response to laminar fluid shear stress|anion transmembrane transporter activity|small GTPase binding|negative regulation of macrophage derived foam cell differentiation|cellular response to low-density lipoprotein particle stimulus|phosphatidylserine-translocating ATPase activity|phosphatidylcholine-translocating ATPase activity|cholesterol metabolic process|external side of plasma membrane|cholesterol homeostasis|ATP binding|integral component of plasma membrane|reverse cholesterol transport|cellular response to cholesterol|positive regulation of cholesterol efflux|endosomal transport|cholesterol transporter activity|lysosome organization|phospholipid binding|signaling receptor binding|perinuclear region of cytoplasm|cellular response to lipopolysaccharide|cellular response to retinoic acid|response to drug|membrane raft|cholesterol efflux|interleukin-1 beta secretion|negative regulation of cholesterol storage|regulation of lipid metabolic process|phospholipid efflux|ATPase binding",GO:0016887|GO:0005794|GO:0055091|GO:0005789|GO:0005548|GO:0006911|GO:0098656|GO:0045332|GO:0032367|GO:0032489|GO:0034185|GO:0060155|GO:0090107|GO:0034380|GO:0038027|GO:0007186|GO:0015485|GO:0019905|GO:0034188|GO:0034186|GO:0006497|GO:0045335|GO:0007584|GO:0007189|GO:0008035|GO:0005886|GO:0030139|GO:0005515|GO:0034616|GO:0008509|GO:0031267|GO:0010745|GO:0071404|GO:0090556|GO:0090554|GO:0008203|GO:0009897|GO:0042632|GO:0005524|GO:0005887|GO:0043691|GO:0071397|GO:0010875|GO:0016197|GO:0017127|GO:0007040|GO:0005543|GO:0005102|GO:0048471|GO:0071222|GO:0071300|GO:0042493|GO:0045121|GO:0033344|GO:0050702|GO:0010887|GO:0019216|GO:0033700|GO:0051117,,
UniProtKB:P25942,CD40,Tumor necrosis factor receptor superfamily member 5,TNFRSF5,Homo sapiens,protein,UniProtKB,family not named pthr46875,PANTHER:PTHR46875,positive regulation of tyrosine phosphorylation of STAT protein|neuronal cell body|positive regulation of NF-kappaB transcription factor activity|positive regulation of GTPase activity|positive regulation of angiogenesis|inflammatory response|varicosity|intracellular membrane-bounded organelle|defense response to virus|positive regulation of endothelial cell apoptotic process|CD40 receptor complex|protein domain specific binding|protein-containing complex assembly|response to interferon-gamma|signaling receptor activity|B cell proliferation|plasma membrane|tumor necrosis factor-mediated signaling pathway|protein binding|ubiquitin protein ligase binding|immune response-regulating cell surface receptor signaling pathway|positive regulation of B cell proliferation|positive regulation of MAP kinase activity|positive regulation of protein kinase C signaling|external side of plasma membrane|positive regulation of I-kappaB kinase/NF-kappaB signaling|positive regulation of transcription by RNA polymerase II|defense response to protozoan|integral component of plasma membrane|protein kinase B signaling|extracellular exosome|antigen binding|regulation of immunoglobulin secretion|platelet activation|regulation of immune response|response to cobalamin|response to peptide|positive regulation of isotype switching to IgG isotypes|positive regulation of blood vessel endothelial cell migration|cellular calcium ion homeostasis|cell surface|positive regulation of interleukin-12 production|cellular response to mechanical stimulus|cellular response to lipopolysaccharide|cytoplasm|positive regulation of protein phosphorylation|cellular response to interleukin-1|cellular response to erythropoietin|enzyme binding,GO:0042531|GO:0043025|GO:0051092|GO:0043547|GO:0045766|GO:0006954|GO:0043196|GO:0043231|GO:0051607|GO:2000353|GO:0035631|GO:0019904|GO:0065003|GO:0034341|GO:0038023|GO:0042100|GO:0005886|GO:0033209|GO:0005515|GO:0031625|GO:0002768|GO:0030890|GO:0043406|GO:0090037|GO:0009897|GO:0043123|GO:0045944|GO:0042832|GO:0005887|GO:0043491|GO:0070062|GO:0003823|GO:0051023|GO:0030168|GO:0050776|GO:0033590|GO:1901652|GO:0048304|GO:0043536|GO:0006874|GO:0009986|GO:0032735|GO:0071260|GO:0071222|GO:0005737|GO:0001934|GO:0071347|GO:0036018|GO:0019899,,
UniProtKB:Q14689,DIP2A,Disco-interacting protein 2 homolog A,C21orf106|DIP2|KIAA0184,Homo sapiens,protein,UniProtKB,disco-interacting protein 2  dip2 -related pthr22754,PANTHER:PTHR22754,nucleus|negative regulation of gene expression|protein binding|catalytic activity|multicellular organism development|regulation of apoptotic process|cell surface,GO:0005634|GO:0010629|GO:0005515|GO:0003824|GO:0007275|GO:0042981|GO:0009986,,
UniProtKB:Q8NCM2,KCNH5,Potassium voltage-gated channel subfamily H member 5,EAG2,Homo sapiens,protein,UniProtKB,voltage and ligand gated potassium channel pthr10217,PANTHER:PTHR10217,calmodulin binding|protein heterodimerization activity|regulation of ion transmembrane transport|ion channel binding|plasma membrane|regulation of G2/M transition of mitotic cell cycle|cell surface,GO:0005516|GO:0046982|GO:0034765|GO:0044325|GO:0005886|GO:0010389|GO:0009986,,
UniProtKB:P19022,CDH2,Cadherin-2,CDHN|NCAD,Homo sapiens,protein,UniProtKB,family not named pthr24027,PANTHER:PTHR24027,neuroepithelial cell differentiation|collagen-containing extracellular matrix|alpha-catenin binding|endoplasmic reticulum lumen|gamma-catenin binding|calcium ion binding|sarcolemma|regulation of oligodendrocyte progenitor proliferation|cortical actin cytoskeleton|lamellipodium|protein kinase binding|protein phosphatase binding|cerebral cortex development|positive regulation of synaptic vesicle clustering|plasma membrane|protein binding|cell-cell junction|cell-cell adherens junction|fascia adherens|cell-cell adhesion mediated by cadherin|intercalated disc|cell junction|basolateral plasma membrane|apical plasma membrane|protein localization to plasma membrane|adherens junction organization|heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules|regulation of postsynaptic density protein 95 clustering|cell adhesion|brain morphogenesis|post-translational protein modification|plasma membrane raft|neuronal stem cell population maintenance|integral component of plasma membrane|striated muscle cell differentiation|focal adhesion|cell migration|positive regulation of muscle cell differentiation|cellular protein metabolic process|radial glial cell differentiation|beta-catenin binding|positive regulation of MAPK cascade|cell surface|negative regulation of canonical Wnt signaling pathway|cytoplasm|homeostasis of number of cells|neuroligin clustering involved in postsynaptic membrane assembly|catenin complex|cell-cell adhesion|glial cell differentiation,GO:0060563|GO:0062023|GO:0045294|GO:0005788|GO:0045295|GO:0005509|GO:0042383|GO:0070445|GO:0030864|GO:0030027|GO:0019901|GO:0019903|GO:0021987|GO:2000809|GO:0005886|GO:0005515|GO:0005911|GO:0005913|GO:0005916|GO:0044331|GO:0014704|GO:0030054|GO:0016323|GO:0016324|GO:0072659|GO:0034332|GO:0007157|GO:1902897|GO:0007155|GO:0048854|GO:0043687|GO:0044853|GO:0097150|GO:0005887|GO:0051146|GO:0005925|GO:0016477|GO:0051149|GO:0044267|GO:0060019|GO:0008013|GO:0043410|GO:0009986|GO:0090090|GO:0005737|GO:0048872|GO:0097118|GO:0016342|GO:0098609|GO:0010001,,
UniProtKB:P15692,VEGFA,Vascular endothelial growth factor A,VEGF,Homo sapiens,protein,UniProtKB,vascular endothelial growth factor pthr12025,PANTHER:PTHR12025,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway|mesoderm development|branching morphogenesis of an epithelial tube|positive regulation of cell migration involved in sprouting angiogenesis|positive regulation of angiogenesis|response to hypoxia|in utero embryonic development|kidney development|protein heterodimerization activity|positive regulation of vascular endothelial growth factor receptor signaling pathway|post-embryonic camera-type eye development|positive regulation of epithelial cell proliferation|positive regulation of peptidyl-serine phosphorylation|positive regulation of receptor internalization|secretory granule|cytokine activity|extracellular matrix binding|positive regulation of branching involved in ureteric bud morphogenesis|vascular endothelial growth factor receptor signaling pathway|protein binding|positive regulation of focal adhesion assembly|cellular stress response to acid chemical|positive regulation of CREB transcription factor activity|tube formation|positive regulation of MAP kinase activity|vascular endothelial growth factor receptor binding|positive regulation of protein kinase C signaling|positive regulation of cell population proliferation|outflow tract morphogenesis|positive regulation of retinal ganglion cell axon guidance|positive regulation of cellular component movement|lactation|heparin binding|receptor ligand activity|positive regulation of cell adhesion|extracellular region|positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway|positive regulation of transcription by RNA polymerase II|surfactant homeostasis|platelet degranulation|positive regulation of cell division|angiogenesis|cardiac vascular smooth muscle cell development|cytokine-mediated signaling pathway|activation of protein kinase activity|positive regulation of endothelial cell migration|positive regulation of protein complex assembly|positive regulation of peptidyl-tyrosine phosphorylation|commissural neuron axon guidance|positive regulation of sprouting angiogenesis|positive regulation of blood vessel endothelial cell migration|ovarian follicle development|coronary vein morphogenesis|extracellular space|motor neuron migration|cytoplasm|dopaminergic neuron differentiation|positive regulation of protein phosphorylation|endothelial cell chemotaxis|positive regulation of endothelial cell proliferation|cellular response to vascular endothelial growth factor stimulus|regulation of retinal ganglion cell axon guidance|positive chemotaxis|chemoattractant activity|cell migration involved in sprouting angiogenesis|regulation of transcription from RNA polymerase II promoter in response to hypoxia|positive regulation of transcription from RNA polymerase II promoter in response to hypoxia|VEGF-activated neuropilin signaling pathway|heart morphogenesis|positive regulation of protein autophosphorylation|negative regulation of cysteine-type endopeptidase activity involved in apoptotic process|cellular response to hypoxia|monocyte differentiation|positive regulation of cold-induced thermogenesis|macrophage differentiation|positive regulation of protein kinase D signaling|platelet-derived growth factor receptor binding|positive regulation of positive chemotaxis|eye photoreceptor cell development|positive regulation of neuroblast proliferation|artery morphogenesis|positive regulation of mesenchymal cell proliferation|positive regulation of axon extension involved in axon guidance|primitive erythrocyte differentiation|positive regulation of p38MAPK cascade|epithelial cell differentiation|positive regulation of leukocyte migration|negative regulation of gene expression|positive regulation of gene expression|regulation of nitric oxide mediated signal transduction|regulation of signaling receptor activity|positive regulation of cell migration|regulation of cell shape|growth factor activity|coronary artery morphogenesis|nervous system development|vasculogenesis|positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis|cardiac muscle fiber development|negative regulation of transcription by RNA polymerase II|mammary gland alveolus development|branching involved in blood vessel morphogenesis|fibronectin binding|extracellular matrix|lymph vessel morphogenesis|lung development|induction of positive chemotaxis|platelet alpha granule lumen|identical protein binding|protein homodimerization activity|positive regulation of peptidyl-tyrosine autophosphorylation|cell maturation|regulation of transcription by RNA polymerase II|cell surface|positive regulation of histone deacetylase activity|vascular endothelial growth factor receptor 1 binding|camera-type eye morphogenesis|vascular endothelial growth factor receptor 2 binding|negative regulation of apoptotic process|membrane,GO:0038033|GO:0007498|GO:0048754|GO:0090050|GO:0045766|GO:0001666|GO:0001701|GO:0001822|GO:0046982|GO:0030949|GO:0031077|GO:0050679|GO:0033138|GO:0002092|GO:0030141|GO:0005125|GO:0050840|GO:0090190|GO:0048010|GO:0005515|GO:0051894|GO:0097533|GO:0032793|GO:0035148|GO:0043406|GO:0005172|GO:0090037|GO:0008284|GO:0003151|GO:1902336|GO:0051272|GO:0007595|GO:0008201|GO:0048018|GO:0045785|GO:0005576|GO:0038091|GO:0045944|GO:0043129|GO:0002576|GO:0051781|GO:0001525|GO:0060948|GO:0019221|GO:0032147|GO:0010595|GO:0031334|GO:0050731|GO:0071679|GO:1903672|GO:0043536|GO:0001541|GO:0003169|GO:0005615|GO:0097475|GO:0005737|GO:0071542|GO:0001934|GO:0035767|GO:0001938|GO:0035924|GO:0090259|GO:0050918|GO:0042056|GO:0002042|GO:0061418|GO:0061419|GO:0038190|GO:0003007|GO:0031954|GO:0043154|GO:0071456|GO:0030224|GO:0120162|GO:0030225|GO:1903572|GO:0005161|GO:0050927|GO:0042462|GO:0002052|GO:0048844|GO:0002053|GO:0048842|GO:0060319|GO:1900745|GO:0030855|GO:0002687|GO:0010629|GO:0010628|GO:0010749|GO:0010469|GO:0030335|GO:0008360|GO:0008083|GO:0060982|GO:0007399|GO:0001570|GO:1903589|GO:0048739|GO:0000122|GO:0060749|GO:0001569|GO:0001968|GO:0031012|GO:0036303|GO:0030324|GO:0050930|GO:0031093|GO:0042802|GO:0042803|GO:1900086|GO:0048469|GO:0006357|GO:0009986|GO:1901727|GO:0043183|GO:0048593|GO:0043184|GO:0043066|GO:0016020,,
UniProtKB:P49768,PSEN1,Presenilin-1,AD3|PS1|PSNL1,Homo sapiens,protein,UniProtKB,presenilin pthr10202,PANTHER:PTHR10202,"post-embryonic development|protein transport|skin morphogenesis|hematopoietic progenitor cell differentiation|cerebral cortex cell migration|growth cone|activation of MAPKK activity|epithelial cell proliferation|mitochondrial transport|positive regulation of transcription, DNA-templated|sarcolemma|dendritic shaft|heart looping|neuromuscular junction|cell fate specification|intracellular signal transduction|neuron apoptotic process|positive regulation of protein import into nucleus|cerebellum development|regulation of resting membrane potential|positive regulation of dendritic spine development|nuclear outer membrane|cellular response to DNA damage stimulus|plasma membrane|early endosome membrane|nucleus|synaptic vesicle targeting|protein binding|positive regulation of catalytic activity|neuron projection maintenance|ephrin receptor signaling pathway|protein processing|positive regulation of proteasomal ubiquitin-dependent protein catabolic process|neuron projection|negative regulation of neuron apoptotic process|thymus development|autophagosome assembly|astrocyte activation|neuron migration|positive regulation of receptor recycling|myeloid dendritic cell differentiation|regulation of canonical Wnt signaling pathway|calcium ion transmembrane transport|aggresome|T cell receptor signaling pathway|amyloid-beta formation|ciliary rootlet|positive regulation of phosphorylation|membrane protein intracellular domain proteolysis|cellular response to amyloid-beta|neuron development|skeletal system morphogenesis|mitochondrial inner membrane|regulation of phosphorylation|nuclear membrane|mitochondrion|cell-cell adhesion|negative regulation of apoptotic signaling pathway|positive regulation of protein binding|choline transport|negative regulation of epidermal growth factor-activated receptor activity|smooth endoplasmic reticulum|synaptic vesicle|protein glycosylation|rough endoplasmic reticulum|Golgi membrane|Golgi apparatus|kinetochore|neuronal cell body|T cell activation involved in immune response|Cajal-Retzius cell differentiation|memory|learning or memory|endoplasmic reticulum membrane|negative regulation of ubiquitin-protein transferase activity|positive regulation of L-glutamate import across plasma membrane|neural retina development|regulation of synaptic plasticity|gamma-secretase complex|regulation of neuron projection development|regulation of synaptic transmission, glutamatergic|dorsal/ventral neural tube patterning|amyloid precursor protein catabolic process|aspartic-type endopeptidase activity|Notch receptor processing|synapse organization|neutrophil degranulation|amyloid precursor protein metabolic process|aspartic endopeptidase activity, intramembrane cleaving|negative regulation of gene expression|positive regulation of amyloid fibril formation|somitogenesis|positive regulation of gene expression|cell junction|protein-containing complex|negative regulation of core promoter binding|brain morphogenesis|astrocyte activation involved in immune response|integral component of presynaptic membrane|negative regulation of transcription by RNA polymerase II|integral component of plasma membrane|response to oxidative stress|embryonic limb morphogenesis|negative regulation of axonogenesis|blood vessel development|PDZ domain binding|endoplasmic reticulum calcium ion homeostasis|azurophil granule membrane|negative regulation of ubiquitin-dependent protein catabolic process|Notch receptor processing, ligand-dependent|calcium channel activity|endopeptidase activity|endoplasmic reticulum|beta-catenin binding|cell surface|centrosome|membrane protein ectodomain proteolysis|cell cortex|negative regulation of apoptotic process|membrane|positive regulation of apoptotic process|membrane raft|integral component of membrane|modulation of age-related behavioral decline|positive regulation of coagulation",GO:0009791|GO:0015031|GO:0043589|GO:0002244|GO:0021795|GO:0030426|GO:0000186|GO:0050673|GO:0006839|GO:0045893|GO:0042383|GO:0043198|GO:0001947|GO:0031594|GO:0001708|GO:0035556|GO:0051402|GO:0042307|GO:0021549|GO:0060075|GO:0060999|GO:0005640|GO:0006974|GO:0005886|GO:0031901|GO:0005634|GO:0016080|GO:0005515|GO:0043085|GO:1990535|GO:0048013|GO:0016485|GO:0032436|GO:0043005|GO:0043524|GO:0048538|GO:0000045|GO:0048143|GO:0001764|GO:0001921|GO:0043011|GO:0060828|GO:0070588|GO:0016235|GO:0050852|GO:0034205|GO:0035253|GO:0042327|GO:0031293|GO:1904646|GO:0048666|GO:0048705|GO:0005743|GO:0042325|GO:0031965|GO:0005739|GO:0098609|GO:2001234|GO:0032092|GO:0015871|GO:0007175|GO:0005790|GO:0008021|GO:0006486|GO:0005791|GO:0000139|GO:0005794|GO:0000776|GO:0043025|GO:0002286|GO:0021870|GO:0007613|GO:0007611|GO:0005789|GO:0051444|GO:0002038|GO:0003407|GO:0048167|GO:0070765|GO:0010975|GO:0051966|GO:0021904|GO:0042987|GO:0004190|GO:0007220|GO:0050808|GO:0043312|GO:0042982|GO:0042500|GO:0010629|GO:1905908|GO:0001756|GO:0010628|GO:0030054|GO:0032991|GO:1904797|GO:0048854|GO:0002265|GO:0099056|GO:0000122|GO:0005887|GO:0006979|GO:0030326|GO:0050771|GO:0001568|GO:0030165|GO:0032469|GO:0035577|GO:2000059|GO:0035333|GO:0005262|GO:0004175|GO:0005783|GO:0008013|GO:0009986|GO:0005813|GO:0006509|GO:0005938|GO:0043066|GO:0016020|GO:0043065|GO:0045121|GO:0016021|GO:0090647|GO:0050820,,
UniProtKB:P12319,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha,FCE1A,Homo sapiens,protein,UniProtKB,immunoglobulin fc receptor pthr11481,PANTHER:PTHR11481,integral component of plasma membrane|Fc-epsilon receptor signaling pathway|IgE binding|plasma membrane|cell surface,GO:0005887|GO:0038095|GO:0019863|GO:0005886|GO:0009986,,
UniProtKB:Q8NFZ4,NLGN2,Neuroligin-2,KIAA1366,Homo sapiens,protein,UniProtKB,family not named pthr43903,PANTHER:PTHR43903,"presynaptic membrane|locomotory exploration behavior|positive regulation of synaptic transmission, GABAergic|cell adhesion molecule binding|positive regulation of protein localization to synapse|neuron cell-cell adhesion|regulation of respiratory gaseous exchange by neurological system process|synapse|positive regulation of inhibitory postsynaptic potential|integral component of postsynaptic membrane|presynapse assembly|postsynaptic membrane assembly|postsynaptic membrane|neurexin family protein binding|presynaptic membrane assembly|regulation of AMPA receptor activity|positive regulation of insulin secretion|protein localization to synapse|positive regulation of synaptic transmission, glutamatergic|positive regulation of synapse assembly|inhibitory synapse|identical protein binding|synapse organization|inhibitory synapse assembly|integral component of postsynaptic specialization membrane|positive regulation of synaptic vesicle clustering|plasma membrane|spanning component of membrane|glycinergic synapse|cell surface|cell-cell junction maintenance|dopaminergic synapse|symmetric, GABA-ergic, inhibitory synapse|synapse assembly|terminal button organization|membrane|gephyrin clustering involved in postsynaptic density assembly|postsynaptic density protein 95 clustering|sensory perception of pain|cell junction|modulation of chemical synaptic transmission|positive regulation of excitatory postsynaptic potential|cell-cell adhesion|neuromuscular process controlling balance",GO:0042734|GO:0035641|GO:0032230|GO:0050839|GO:1902474|GO:0007158|GO:0002087|GO:0045202|GO:0097151|GO:0099055|GO:0099054|GO:0097104|GO:0045211|GO:0042043|GO:0097105|GO:2000311|GO:0032024|GO:0035418|GO:0051968|GO:0051965|GO:0060077|GO:0042802|GO:0050808|GO:1904862|GO:0099060|GO:2000809|GO:0005886|GO:0089717|GO:0098690|GO:0009986|GO:0045217|GO:0098691|GO:0098983|GO:0007416|GO:0072553|GO:0016020|GO:0097116|GO:0097119|GO:0019233|GO:0030054|GO:0050804|GO:2000463|GO:0098609|GO:0050885,,
UniProtKB:Q8NG11,TSPAN14,Tetraspanin-14,TM4SF14,Homo sapiens,protein,UniProtKB,tetraspanin pthr19282,PANTHER:PTHR19282,endoplasmic reticulum lumen|cellular protein metabolic process|neutrophil degranulation|protein maturation|positive regulation of Notch signaling pathway|plasma membrane|tertiary granule membrane|protein localization to plasma membrane|tetraspanin-enriched microdomain|cell surface|enzyme binding|specific granule membrane,GO:0005788|GO:0044267|GO:0043312|GO:0051604|GO:0045747|GO:0005886|GO:0070821|GO:0072659|GO:0097197|GO:0009986|GO:0019899|GO:0035579,,
UniProtKB:Q9Y5C1,ANGPTL3,Angiopoietin-related protein 3,ANGPT5|UNQ153/PRO179,Homo sapiens,protein,UniProtKB,fibrinogen/tenascin/angiopoeitin pthr19143,PANTHER:PTHR19143,growth factor activity|lipid storage|phospholipid catabolic process|cholesterol metabolic process|integrin binding|Golgi apparatus|heparin binding|extracellular region|phospholipid metabolic process|cholesterol homeostasis|acylglycerol homeostasis|positive regulation of angiogenesis|phospholipid homeostasis|regulation of lipoprotein lipase activity|negative regulation of phospholipase activity|negative regulation of lipoprotein lipase activity|early endosome|integrin-mediated signaling pathway|angiogenesis|enzyme inhibitor activity|phospholipase inhibitor activity|triglyceride homeostasis|lamellipodium|positive regulation of lipid catabolic process|glycerol metabolic process|cell-matrix adhesion|signal transduction|lipid homeostasis|artery morphogenesis|response to hormone|fatty acid metabolic process|cell surface|extracellular space|regulation of signaling receptor activity|positive regulation of cell migration,GO:0008083|GO:0019915|GO:0009395|GO:0008203|GO:0005178|GO:0005794|GO:0008201|GO:0005576|GO:0006644|GO:0042632|GO:0055090|GO:0045766|GO:0055091|GO:0051004|GO:0010519|GO:0051005|GO:0005769|GO:0007229|GO:0001525|GO:0004857|GO:0004859|GO:0070328|GO:0030027|GO:0050996|GO:0006071|GO:0007160|GO:0007165|GO:0055088|GO:0048844|GO:0009725|GO:0006631|GO:0009986|GO:0005615|GO:0010469|GO:0030335,,
UniProtKB:Q9Y6W8,ICOS,Inducible T-cell costimulator,AILIM,Homo sapiens,protein,UniProtKB,family not named pthr20904,PANTHER:PTHR20904,integral component of plasma membrane|protein binding|immune response|T cell costimulation|T cell tolerance induction|external side of plasma membrane|extracellular region|cell-cell adhesion|plasma membrane|positive regulation of protein kinase B signaling,GO:0005887|GO:0005515|GO:0006955|GO:0031295|GO:0002517|GO:0009897|GO:0005576|GO:0098609|GO:0005886|GO:0051897,,
UniProtKB:P32004,L1CAM,Neural cell adhesion molecule L1,CAML1|MIC5,Homo sapiens,protein,UniProtKB,family not named pthr45080,PANTHER:PTHR45080,cell-matrix adhesion|protein domain specific binding|axon development|neuron projection development|synapse organization|collagen-containing extracellular matrix|nervous system development|axon guidance|cell adhesion|positive regulation of axon extension|neuronal cell body|plasma membrane|cell surface|chemotaxis|dendrite|protein binding|focal adhesion|axonal growth cone|integral component of membrane|leukocyte migration|cell migration|axon,GO:0007160|GO:0019904|GO:0061564|GO:0031175|GO:0050808|GO:0062023|GO:0007399|GO:0007411|GO:0007155|GO:0045773|GO:0043025|GO:0005886|GO:0009986|GO:0006935|GO:0030425|GO:0005515|GO:0005925|GO:0044295|GO:0016021|GO:0050900|GO:0016477|GO:0030424,,
UniProtKB:P42262,GRIA2,Glutamate receptor 2,GLUR2,Homo sapiens,protein,UniProtKB,ionotropic glutamate receptor pthr18966,PANTHER:PTHR18966,"AMPA glutamate receptor complex|postsynaptic density|signal transduction|ion transmembrane transport|excitatory synapse|external side of plasma membrane|chemical synaptic transmission|AMPA glutamate receptor activity|ionotropic glutamate receptor activity|amyloid-beta binding|plasma membrane|endoplasmic reticulum membrane|integral component of plasma membrane|dendrite|protein binding|postsynapse|postsynaptic endocytic zone|postsynaptic membrane|dendritic spine|cell junction|regulation of NMDA receptor activity|ionotropic glutamate receptor signaling pathway|endocytic vesicle membrane|synaptic transmission, glutamatergic",GO:0032281|GO:0014069|GO:0007165|GO:0034220|GO:0060076|GO:0009897|GO:0007268|GO:0004971|GO:0004970|GO:0001540|GO:0005886|GO:0005789|GO:0005887|GO:0030425|GO:0005515|GO:0098794|GO:0098843|GO:0045211|GO:0043197|GO:0030054|GO:2000310|GO:0035235|GO:0030666|GO:0035249,,
UniProtKB:Q04609,FOLH1,Glutamate carboxypeptidase 2,FOLH|NAALAD1|PSM|PSMA|GIG27,Homo sapiens,protein,UniProtKB,n-acetylated-alpha-linked acidic dipeptidase pthr10404,PANTHER:PTHR10404,tetrahydrofolyl-poly(glutamate) polymer binding|metallocarboxypeptidase activity|dipeptidase activity|cellular amino acid biosynthetic process|folic acid-containing compound metabolic process|peptidase activity|plasma membrane|cell surface|integral component of plasma membrane|extracellular exosome|cytoplasm|metal ion binding|proteolysis|membrane|C-terminal protein deglutamylation|Ac-Asp-Glu binding,GO:1904493|GO:0004181|GO:0016805|GO:0008652|GO:0006760|GO:0008233|GO:0005886|GO:0009986|GO:0005887|GO:0070062|GO:0005737|GO:0046872|GO:0006508|GO:0016020|GO:0035609|GO:1904492,,
UniProtKB:P10912,GHR,Growth hormone receptor,,Homo sapiens,protein,UniProtKB,cytokine receptor pthr23036,PANTHER:PTHR23036,activation of Janus kinase activity|regulation of multicellular organism growth|positive regulation of tyrosine phosphorylation of STAT protein|extracellular region|positive regulation of multicellular organism growth|receptor signaling pathway via JAK-STAT|activation of MAPK activity|integral component of plasma membrane|proline-rich region binding|cytokine-mediated signaling pathway|cytosol|peptide hormone binding|positive regulation of peptidyl-tyrosine phosphorylation|growth hormone receptor signaling pathway|protein kinase binding|cytoplasmic ribonucleoprotein granule|growth hormone receptor signaling pathway via JAK-STAT|identical protein binding|protein homodimerization activity|insulin-like growth factor receptor signaling pathway|receptor complex|endocytosis|hormone metabolic process|plasma membrane|cell surface|growth hormone receptor complex|extracellular space|protein binding|integral component of membrane|taurine metabolic process|cellular response to hormone stimulus,GO:0042976|GO:0040014|GO:0042531|GO:0005576|GO:0040018|GO:0007259|GO:0000187|GO:0005887|GO:0070064|GO:0019221|GO:0005829|GO:0017046|GO:0050731|GO:0060396|GO:0019901|GO:0036464|GO:0060397|GO:0042802|GO:0042803|GO:0048009|GO:0043235|GO:0006897|GO:0042445|GO:0005886|GO:0009986|GO:0070195|GO:0005615|GO:0005515|GO:0016021|GO:0019530|GO:0032870,,
UniProtKB:Q9P0V8,SLAMF8,SLAM family member 8,BLAME,Homo sapiens,protein,UniProtKB,signaling lymphocytic activation molecule pthr12080,PANTHER:PTHR12080,regulation of kinase activity|identical protein binding|negative regulation of respiratory burst involved in inflammatory response|negative regulation of monocyte chemotaxis|cellular response to drug|signaling receptor activity|regulation of B cell differentiation|negative regulation of neutrophil migration|phagosome acidification|leukocyte chemotaxis involved in inflammatory response|defense response to bacterium|cell surface|B-1 B cell lineage commitment|negative regulation of dendritic cell chemotaxis|integral component of membrane|regulation of NAD(P)H oxidase activity|negative regulation of macrophage chemotaxis,GO:0043549|GO:0042802|GO:0060266|GO:0090027|GO:0035690|GO:0038023|GO:0045577|GO:1902623|GO:0090383|GO:0002232|GO:0042742|GO:0009986|GO:0002336|GO:2000509|GO:0016021|GO:0033860|GO:0010760,,
UniProtKB:Q9UBN1,CACNG4,Voltage-dependent calcium channel gamma-4 subunit,,Homo sapiens,protein,UniProtKB,voltage-dependent calcium channel gamma subunit pthr12107,PANTHER:PTHR12107,AMPA glutamate receptor complex|ionotropic glutamate receptor binding|somatodendritic compartment|response to cocaine|integral component of postsynaptic density membrane|calcium channel regulator activity|plasma membrane|cardiac conduction|cell surface|positive regulation of AMPA receptor activity|integral component of plasma membrane|L-type voltage-gated calcium channel complex|regulation of postsynaptic neurotransmitter receptor activity|cell body|calcium ion transmembrane transport|regulation of AMPA receptor activity|glutamatergic synapse|membrane depolarization|endocytic vesicle membrane,GO:0032281|GO:0035255|GO:0036477|GO:0042220|GO:0099061|GO:0005246|GO:0005886|GO:0061337|GO:0009986|GO:2000969|GO:0005887|GO:1990454|GO:0098962|GO:0044297|GO:0070588|GO:2000311|GO:0098978|GO:0051899|GO:0030666,,
