X.BioGRID.Interaction.ID,Entrez.Gene.Interactor.A,Entrez.Gene.Interactor.B,BioGRID.ID.Interactor.A,BioGRID.ID.Interactor.B,Systematic.Name.Interactor.A,Systematic.Name.Interactor.B,Official.Symbol.Interactor.A,Official.Symbol.Interactor.B,Synonyms.Interactor.A,Synonyms.Interactor.B,Experimental.System,Experimental.System.Type,Author,Pubmed.ID,Organism.Interactor.A,Organism.Interactor.B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source.Database,ENSEMBL_A,ENSEMBL_B
1195735,54361,3309,119939,109541,RP1-224A6.7,-,WNT4,HSPA5,SERKAL|WNT-4,BIP|GRP78|HEL-S-89n|MIF2,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.809856723,-,-,"Interaction also contained in second paper after re-analysis of the data, Architecture of the human interactome defines protein communities and disease networks, PUBMED:28514442|Quantitative scores are a modified CompPASS score derived from Sowa et al., Cell, 2009 (PMID 19615732). The cut-off threshold is > 0.75.",-,BIOGRID,ENSG00000162552,ENSG00000044574
1195744,54361,7474,119939,113311,RP1-224A6.7,-,WNT4,WNT5A,SERKAL|WNT-4,hWNT5A,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.999574368,-,-,"Interaction also contained in second paper after re-analysis of the data, Architecture of the human interactome defines protein communities and disease networks, PUBMED:28514442|Quantitative scores are a modified CompPASS score derived from Sowa et al., Cell, 2009 (PMID 19615732). The cut-off threshold is > 0.75.",-,BIOGRID,ENSG00000162552,ENSG00000114251
1195823,9034,3493,114500,109714,-,-,CCRL2,IGHA1,ACKR5|CKRX|CRAM|CRAM-A|CRAM-B|HCR,IgA1,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.762394988,-,-,"Interaction also contained in second paper after re-analysis of the data, Architecture of the human interactome defines protein communities and disease networks, PUBMED:28514442|Quantitative scores are a modified CompPASS score derived from Sowa et al., Cell, 2009 (PMID 19615732). The cut-off threshold is > 0.75.",-,BIOGRID,ENSG00000121797,NA
1197501,23601,80381,117135,123260,-,PSEC0249,CLEC5A,CD276,CLECSF5|MDL-1|MDL1,4Ig-B7-H3|B7-H3|B7H3|B7RP-2,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.999930083,-,-,"Interaction also contained in second paper after re-analysis of the data, Architecture of the human interactome defines protein communities and disease networks, PUBMED:28514442|Quantitative scores are a modified CompPASS score derived from Sowa et al., Cell, 2009 (PMID 19615732). The cut-off threshold is > 0.75.",-,BIOGRID,ENSG00000258227,ENSG00000103855
1238588,57119,4057,121383,110235,RP3-461P17.1,-,EPPIN,LTF,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2,GIG12|HEL110|HLF2|LF,Co-fractionation,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101448,ENSG00000012223
1238589,57119,1191,121383,107603,RP3-461P17.1,AAG4,EPPIN,CLU,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,Co-fractionation,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101448,ENSG00000120885
1238590,1191,4057,107603,110235,AAG4,-,CLU,LTF,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,GIG12|HEL110|HLF2|LF,Affinity Capture-Western,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000012223
1238591,1191,57119,107603,121383,AAG4,RP3-461P17.1,CLU,EPPIN,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2,Affinity Capture-Western,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000101448
1238593,57119,4057,121383,110235,RP3-461P17.1,-,EPPIN,LTF,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2,GIG12|HEL110|HLF2|LF,Far Western,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101448,ENSG00000012223
1238594,57119,1191,121383,107603,RP3-461P17.1,AAG4,EPPIN,CLU,CT71|CT72|SPINLW1|WAP7|WFDC7|dJ461P17.2,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,Far Western,physical,Wang Z (2007),17567961,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000101448,ENSG00000120885
1240096,7046,7048,112904,112906,RP11-96L7.1,-,TGFBR1,TGFBR2,AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I,AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII,Phenotypic Enhancement,genetic,Datta PK (2000),10757800,9606,9606,Low Throughput,-,-,-,co-expression results in increased phosphrylation of target protein,-,BIOGRID,ENSG00000106799,ENSG00000163513
1240175,100506742,100506742,125680,125680,UNQ9415,UNQ9415,CASP12,CASP12,CASP-12|CASP12P1,CASP-12|CASP12P1,Biochemical Activity,physical,Morishima N (2002),12097332,9606,9606,Low Throughput,-,Proteolytic Processing,-,-,-,BIOGRID,NA,NA
1241849,5034,5034,111073,111073,-,-,P4HB,P4HB,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,Affinity Capture-Western,physical,Bastos-Aristizabal S (2014),24549644,9606,9606,Low Throughput,-,-,-,dimer,-,BIOGRID,ENSG00000185624,ENSG00000185624
1241850,5034,5034,111073,111073,-,-,P4HB,P4HB,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,Co-crystal Structure,physical,Bastos-Aristizabal S (2014),24549644,9606,9606,Low Throughput,-,-,-,dimer,-,BIOGRID,ENSG00000185624,ENSG00000185624
1254075,6198,6198,112112,112112,-,-,RPS6KB1,RPS6KB1,PS6K|S6K|S6K-beta-1|S6K1|STK14A|p70 S6KA|p70(S6K)-alpha|p70-S6K|p70-alpha,PS6K|S6K|S6K-beta-1|S6K1|STK14A|p70 S6KA|p70(S6K)-alpha|p70-S6K|p70-alpha,Biochemical Activity,physical,Martineau Y (2014),24396066,9606,9606,Low Throughput,-,Phosphorylation,-,-,-,BIOGRID,ENSG00000108443,ENSG00000108443
1254085,3958,3688,110149,109894,-,RP11-479G22.2,LGALS3,ITGB1,CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2,CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB,Affinity Capture-MS,physical,Carvalho RS (2014),24755837,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131981,ENSG00000150093
1254088,3958,6520,110149,112411,-,-,LGALS3,SLC3A2,CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2,4F2|4F2HC|4T2HC|CD98|CD98HC|MDU1|NACAE,Affinity Capture-MS,physical,Carvalho RS (2014),24755837,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131981,ENSG00000168003
1254093,3958,3326,110149,109558,-,RP1-302G2.1,LGALS3,HSP90AB1,CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2,D6S182|HSP84|HSP90B|HSPC2|HSPCB,Affinity Capture-MS,physical,Carvalho RS (2014),24755837,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131981,ENSG00000096384
1254116,3958,6507,110149,112398,-,-,LGALS3,SLC1A3,CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2,EA6|EAAT1|GLAST|GLAST1,Affinity Capture-MS,physical,Carvalho RS (2014),24755837,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131981,ENSG00000079215
1254119,3958,1889,110149,108218,-,RP3-329E20.1,LGALS3,ECE1,CBP35|GAL3|GALBP|GALIG|L31|LGALS2|MAC2,ECE,Affinity Capture-MS,physical,Carvalho RS (2014),24755837,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000131981,ENSG00000117298
1254127,3690,5034,109896,111073,-,-,ITGB3,P4HB,BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT,DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB,Reconstituted Complex,physical,Bi S (2011),21670307,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000259207,ENSG00000185624
1255020,117,1191,106630,107603,-,AAG4,ADCYAP1R1,CLU,PAC1|PAC1R|PACAPR|PACAPRI,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,Two-hybrid,physical,Lee JH (2014),25451228,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000078549,ENSG00000120885
1255021,1191,117,107603,106630,AAG4,-,CLU,ADCYAP1R1,APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2,PAC1|PAC1R|PACAPR|PACAPRI,Affinity Capture-Western,physical,Lee JH (2014),25451228,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000120885,ENSG00000078549
1255238,1410,1410,107800,107800,-,-,CRYAB,CRYAB,CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2,CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2,Affinity Capture-Western,physical,Yamamoto S (2014),25449278,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000109846,ENSG00000109846
1257365,4363,4363,110503,110503,-,-,ABCC1,ABCC1,ABC29|ABCC|GS-X|MRP|MRP1,ABC29|ABCC|GS-X|MRP|MRP1,Reconstituted Complex,physical,Yang Y (2010),21090806,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID,ENSG00000103222,ENSG00000103222
1257460,4914,5156,110969,111182,-,-,NTRK1,PDGFRA,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CD140A|PDGFR-2|PDGFR2|RHEPDGFRA,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000134853
1257472,4914,91,110969,106606,-,-,NTRK1,ACVR1B,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,ACTRIB|ACVRLK4|ALK4|SKR2,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000135503
1257490,4914,4057,110969,110235,-,-,NTRK1,LTF,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,GIG12|HEL110|HLF2|LF,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000012223
1257492,4914,100423062,110969,1148096,-,-,NTRK1,IGLL5,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,-,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000254709
1257500,4914,696,110969,107161,-,-,NTRK1,BTN1A1,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,BT|BTN|BTN1,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000124557
1257503,4914,3105,110969,109350,-,DAQB-90C11.16-002,NTRK1,HLA-A,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,HLAA,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000206503
1257515,4914,4854,110969,110916,-,-,NTRK1,NOTCH3,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CADASIL|CASIL|IMF2,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000074181
1257519,4914,3757,110969,109959,-,-,NTRK1,KCNH2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,ERG-1|ERG1|H-ERG|HERG|HERG1|Kv11.1|LQT2|SQT1,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000055118
1257531,4914,5159,110969,111185,-,-,NTRK1,PDGFRB,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000113721
1257543,4914,1956,110969,108276,-,-,NTRK1,EGFR,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,ERBB|ERBB1|HER1|NISBD2|PIG61|mENA,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000146648
1257548,4914,1969,110969,108288,-,-,NTRK1,EPHA2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,ARCC2|CTPA|CTPP1|CTRCT6|ECK,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000142627
1257563,4914,4914,110969,110969,-,-,NTRK1,NTRK1,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000198400
1257623,4914,8633,110969,114186,-,-,NTRK1,UNC5C,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,UNC5H3,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000182168
1257624,4914,6566,110969,112454,-,RP4-580L15.1,NTRK1,SLC16A1,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,HHF7|MCT|MCT1|MCT1D,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000155380
1257644,4914,4920,110969,110974,-,RP11-8I8.2,NTRK1,ROR2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,BDB|BDB1|NTRKR2,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000169071
1257645,4914,824,110969,107274,-,-,NTRK1,CAPN2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CANP2|CANPL2|CANPml|mCANP,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000162909
1257664,4914,3685,110969,109891,-,-,NTRK1,ITGAV,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CD51|MSK8|VNRA|VTNR,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000138448
1257691,4914,10979,110969,116175,-,-,NTRK1,FERMT2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,KIND2|MIG2|PLEKHC1|UNC112|UNC112B|mig-2,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000073712
1257697,4914,3192,110969,109433,-,RP11-11N7.3,NTRK1,HNRNPU,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,HNRPU|SAF-A|U21.1|hnRNP U,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000153187
1257703,4914,23654,110969,117178,-,RP3-402G11.19-002,NTRK1,PLXNB2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,MM1|Nbla00445|PLEXB2|dJ402G11.3,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000196576
1257713,4914,54495,110969,119991,-,-,NTRK1,TMX3,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,PDIA13|TXNDC10,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000166479
1257719,4914,8301,110969,113902,-,-,NTRK1,PICALM,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,CALM|CLTH|LAP,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000073921
1257749,4914,708,110969,107169,-,-,NTRK1,C1QBP,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000108561
1257848,4914,5243,110969,111262,-,-,NTRK1,ABCB1,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,ABC20|CD243|CLCS|GP170|MDR1|P-GP|PGY1,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000085563
1257879,4914,3321,110969,109553,-,RP4-781D12.1,NTRK1,IGSF3,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,EWI-3|V8,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000143061
1257918,4914,11331,110969,116459,-,-,NTRK1,PHB2,MTC|TRK|TRK1|TRKA|Trk-A|p140-TrkA,BAP|BCAP37|Bap37|PNAS-141|REA|p22,Affinity Capture-MS,physical,Emdal KB (2015),25921289,9606,9606,High Throughput,-,-,-,-,-,BIOGRID,ENSG00000198400,ENSG00000215021
1258592,3956,302,110147,106799,-,-,LGALS1,ANXA2,GAL1|GBP,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.082367096,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000100097,ENSG00000182718
1259170,2023,522,108338,107006,-,-,ENO1,ATP5J,ENO1L1|MPB1|NNE|PPH,ATP5|ATP5A|ATPM|CF6|F6,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.126955078,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000074800,ENSG00000154723
1259515,506,811,106994,107262,-,-,ATP5B,CALR,ATPMB|ATPSB|HEL-S-271,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.211935346,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000110955,ENSG00000179218
1259518,2023,811,108338,107262,-,-,ENO1,CALR,ENO1L1|MPB1|NNE|PPH,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,1.0,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000074800,ENSG00000179218
1259522,3192,811,109433,107262,RP11-11N7.3,-,HNRNPU,CALR,HNRPU|SAF-A|U21.1|hnRNP U,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.414761893,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000153187,ENSG00000179218
1259523,3326,811,109558,107262,RP1-302G2.1,-,HSP90AB1,CALR,D6S182|HSP84|HSP90B|HSPC2|HSPCB,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.17085164,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000096384,ENSG00000179218
1259526,4478,811,110584,107262,-,-,MSN,CALR,HEL70,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.994975593,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000147065,ENSG00000179218
1259527,2923,811,109180,107262,-,-,PDIA3,CALR,ER60|ERp57|ERp60|ERp61|GRP57|GRP58|HEL-S-269|HEL-S-93n|HsT17083|P58|PI-PLC,CRT|HEL-S-99n|RO|SSA|cC1qR,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.999987171,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000167004,ENSG00000179218
1260641,25932,1605,117431,107975,-,-,CLIC4,DAG1,CLIC4L|H1|MTCLIC|huH1|p64H1,156DAG|A3a|AGRNR|DAG|MDDGC7|MDDGC9,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.252442235,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000169504,ENSG00000173402
1261752,4478,2023,110584,108338,-,-,MSN,ENO1,HEL70,ENO1L1|MPB1|NNE|PPH,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.245129114,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000147065,ENSG00000074800
1263222,3309,3192,109541,109433,-,RP11-11N7.3,HSPA5,HNRNPU,BIP|GRP78|HEL-S-89n|MIF2,HNRPU|SAF-A|U21.1|hnRNP U,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.272792173,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000044574,ENSG00000153187
1263293,506,3320,106994,109552,-,-,ATP5B,HSP90AA1,ATPMB|ATPSB|HEL-S-271,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.235730813,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000110955,ENSG00000080824
1263294,506,3326,106994,109558,-,RP1-302G2.1,ATP5B,HSP90AB1,ATPMB|ATPSB|HEL-S-271,D6S182|HSP84|HSP90B|HSPC2|HSPCB,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,0.142495754,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000110955,ENSG00000096384
1263295,3320,3326,109552,109558,-,RP1-302G2.1,HSP90AA1,HSP90AB1,EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2,D6S182|HSP84|HSP90B|HSPC2|HSPCB,Co-fractionation,physical,Wan C (2015),26344197,9606,9606,High Throughput,1.0,-,-,"Fractionation was combined with mass spectrometry from five diverse animal species to predict co-complex protein interactions conserved across metazoa using an integrative computational scoring procedure along with an SVM approach. The significant data set of 16655 PPI, was derived from a set of more than 1M interactions by examining a ROC curve of predicted interactions against reference annotated complexes at a 67.5% cumulative precision.",-,BIOGRID,ENSG00000080824,ENSG00000096384
